latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-10.21006,150.35597,329.81,0.38,0.59,2023-03-29,0253,1,nominal,2.0NRT,293.89,4.67,D
-10.20763,150.35487,326.17,0.38,0.59,2023-03-29,0253,1,nominal,2.0NRT,294.4,2.97,D
-9.64302,149.99307,333.51,0.39,0.6,2023-03-29,0253,1,nominal,2.0NRT,297.36,7.19,D
-9.64346,149.98961,326.06,0.39,0.6,2023-03-29,0253,1,low,2.0NRT,297.25,3.73,D
-9.24309,152.86914,329.52,0.49,0.49,2023-03-29,0253,1,nominal,2.0NRT,292.51,3.88,D
-9.30569,150.30312,337.11,0.37,0.58,2023-03-29,0253,1,nominal,2.0NRT,293.48,3.71,D
-9.23478,150.23492,329.21,0.37,0.58,2023-03-29,0253,1,nominal,2.0NRT,293.72,2.29,D
-9.21296,150.23529,329.9,0.37,0.58,2023-03-29,0253,1,nominal,2.0NRT,293.55,2.21,D
-9.35669,149.11035,333.8,0.45,0.63,2023-03-29,0253,1,nominal,2.0NRT,293.02,3.46,D
-8.0775,147.4276,348.96,0.56,0.69,2023-03-29,0253,1,nominal,2.0NRT,292.84,17.21,D
-8.07797,147.42389,355.69,0.56,0.69,2023-03-29,0253,1,nominal,2.0NRT,293.03,18,D
-7.27568,146.51656,326.45,0.64,0.72,2023-03-29,0253,1,nominal,2.0NRT,295.33,5.06,D
-7.27053,146.50453,325.58,0.64,0.72,2023-03-29,0253,1,nominal,2.0NRT,296.71,4.68,D
-7.06349,146.9261,325.95,0.59,0.7,2023-03-29,0253,1,nominal,2.0NRT,293.23,6.93,D
-7.03019,146.98207,334.24,0.59,0.7,2023-03-29,0253,1,nominal,2.0NRT,294.01,8.55,D
-7.03069,146.9782,333.74,0.59,0.7,2023-03-29,0253,1,nominal,2.0NRT,294.15,8.44,D
-7.02903,146.9801,352.78,0.58,0.7,2023-03-29,0253,1,nominal,2.0NRT,293.49,11.98,D
-6.62448,147.85353,331.64,0.5,0.66,2023-03-29,0253,1,nominal,2.0NRT,294.18,4.07,D
-6.23408,150.26839,334.44,0.34,0.56,2023-03-29,0253,1,nominal,2.0NRT,290.17,2,D
-6.69402,146.86269,327.27,0.59,0.7,2023-03-29,0253,1,nominal,2.0NRT,292.13,3.51,D
-6.49191,147.81865,325.07,0.5,0.66,2023-03-29,0253,1,nominal,2.0NRT,292.13,2.01,D
-6.61476,146.76674,334.22,0.6,0.7,2023-03-29,0253,1,nominal,2.0NRT,294.67,4.75,D
-6.60161,146.46132,326.8,0.63,0.72,2023-03-29,0253,1,nominal,2.0NRT,293.29,3.98,D
-6.58549,146.43073,335.03,0.63,0.72,2023-03-29,0253,1,nominal,2.0NRT,294.02,5.22,D
-5.93985,151.10831,331.66,0.58,0.52,2023-03-29,0253,1,nominal,2.0NRT,291.6,6.19,D
-5.94025,151.10675,333.4,0.58,0.52,2023-03-29,0253,1,nominal,2.0NRT,291.7,4.18,D
-6.5868,146.43053,335.46,0.63,0.72,2023-03-29,0253,1,nominal,2.0NRT,294.14,4.63,D
-6.42272,145.73148,333.78,0.71,0.75,2023-03-29,0253,1,nominal,2.0NRT,289.11,8.09,D
-6.42197,145.72852,341.87,0.71,0.75,2023-03-29,0253,1,nominal,2.0NRT,289.92,10.55,D
-6.30925,146.21864,344.03,0.65,0.73,2023-03-29,0253,1,nominal,2.0NRT,291.41,4.97,D
-5.51211,151.47226,328.63,0.54,0.51,2023-03-29,0253,1,nominal,2.0NRT,290.91,3.29,D
-6.12114,146.69655,327.28,0.6,0.7,2023-03-29,0253,1,nominal,2.0NRT,289.8,4.64,D
-6.30773,145.25648,342.56,0.76,0.77,2023-03-29,0253,1,nominal,2.0NRT,288.1,9.48,D
-6.27734,145.27065,333.15,0.75,0.77,2023-03-29,0253,1,nominal,2.0NRT,290.66,4.62,D
-6.30945,145.25719,342.48,0.75,0.77,2023-03-29,0253,1,nominal,2.0NRT,288.09,9.4,D
-6.27903,145.27069,330.8,0.75,0.77,2023-03-29,0253,1,nominal,2.0NRT,290.45,6.56,D
