﻿eid,title,title_en,description,description_en,latitude,longitude,type,start,stop,contributor
787938,"เบี่ยงจราจร ถนนสมเด็จพระเจ้าตากสิน","Road Diversion at Somdet Phrachao Taksin Rd.","รฟม. แจ้งปิดเบี่ยงจราจรบนถนนสมเด็จพระเจ้าตากสิน ฝั่งขาเข้าและฝั่งขาออก วันที่ 5 - 31 มกราคม 2566 เวลา 22.00 น. เป็นต้นไป ตลอด 24 ชั่วโมง  

Cr. MRTA","Road closures and diversions on Somdet Phrachao Taksin Rd, on January 5-31, 2023. 

Cr. MRTA",13.723909624857,100.49226156493,18,"2023-01-05 00:00:00","2023-01-31 23:59:59",itic.sunisa
788047,"เพลิงไหม้ อ่อนนุช 44 (ซอยสามพี่น้อง)","Fire at On nut 44 (Soi Samphinong)","02:18 เพลิงไหม้หญ้า ใกล้เคียงร้านอาหารโกยกลางบึง ซอยอ่อนนุช 44 ถนนอ่อนนุช แขวงบางจาก เขตพระโขนง เจ้าหน้าที่สถานีดับเพลิงและกู้ภัยสุขุมวิทกำลังไปที่เกิดเหตุ

Cr.JS 100","Grass fire Near Koi Klang Bueng Restaurant in Soi On nut 44 (Soi Samphinong) Suan Luang Suan Luang.

Cr.JS 100",13.704744233386,100.63017368317,15,"2023-01-01 02:29:08","2023-01-01 03:29:08",itic.nirat
788048,"อุบัติเหตุ เชิงทางลงสะพานแยกเอกมัยเหนือ","Accident at Ekkamai Nuea Overpass","02.20 น. เชิงทางลงสะพานแยกเอกมัยเหนือ มุ่งหน้าถนนประดิษฐ์มนูธรรม รถนั่งส่วนบุคคล ชนกับ รถจักรยานยนต์ มีผู้ได้รับบาดเจ็บ กีดขวางเลนกลาง

Cr.FM 91","Cars accident blocking the middle lane on the way down from Ekkamai Nuea Overpass direct to Pradit Manutham Road.

Cr.FM 91",13.746983788723,100.59174835682,3,"2023-01-01 02:32:47","2023-01-01 03:32:47",itic.nirat
788050,"อุบัติเหตุ ถนนลาดพร้าว ขาออก","Accident at Lad Phrao Rd.","04.30 น. ถนนลาดพร้าว ขาออก บริเวณซอยลาดพร้าว 65 รถนั่งส่วนบุคคล ชนขอบทาง  ยังรอการเคลื่อนย้าย กีดขวางเลนซ้าย 

Cr.FM 91","Car accident blocking the left lane at Soi 65 area on outbound Lad Phrao Rd. 

Cr.FM 91",13.790273316544,100.6019769609,3,"2023-01-01 04:42:50","2023-01-01 05:42:50",itic.nirat
788052,"อุบัติเหตุ ถนนทวีวัฒนา","Accident at Thawi Watthana Rd.","รถขยะ+จยย. บาดเจ็บ 1 ราย 
คลองทวีวัฒนา ใกล้เคียงตลาดเวิลด์มาร์เก็ต
ตรงข้ามทวีวัฒนา 3 

Cr. ศูนย์วิทยุชาลี","Cars accident blocking traffic lane opposite Soi Thawi Watthana 3 on Thawi Watthana Rd. 

Cr. ศูนย์วิทยุชาลี",13.738439928698,100.35882916181,3,"2023-01-01 06:41:00","2023-01-01 07:41:00",itic.sunisa
788053,"อุบัติเหตุ ถนนกำนันแม้น","Accident at Kamnan Maen Rd.","จยย.ล้มบาดเจ็บ แยกถนนกัลปพฤกษ์
ตัดถนนกำนันแม้น

Cr. ศูนย์วิทยุชาลี","Motorcycle accident at Kallapraphuek Intersection on Kamnan Maen Rd.

Cr. ศูนย์วิทยุชาลี",13.694269307706,100.43750498373,3,"2023-01-01 06:43:35","2023-01-01 07:43:35",itic.sunisa
788054,"อุบัติเหตุ ถนนหทัยราษฎร์","Accident at Hathai Rat Rd.","ฟอจูนเนอร์ + คน มีผู้ได้รับบาดเจ็บ ใต้สะพานคลองสองตะวันตก ถนนหทัยราษฎร์ เขตคลองสามวา

Cr. ศูนย์วิทยุชาลี","Car accident under Klong song tawantok bridge on Hathai Rat Rd. 

Cr. ศูนย์วิทยุชาลี",13.86390949682,100.72272364633,3,"2023-01-01 07:39:16","2023-01-01 08:39:16",itic.sunisa
788055,"อุบัติเหตุ ถนนป๊อปปูล่า","Accident at Popular Rd.","หน้าอาคาร C7 เมืองทองธานี	จยย.ล้มเอง บาดเจ็บชาย1ราย (เมาสุรา/ไม่สวมหมวกนิรภัย) มีแผลแตกที่ศีรษะ 

Cr. ศูนย์วิทยุชาลี","Motorcycle accident in front of Muangthong C7 Condominium on Popular Rd. 

Cr. ศูนย์วิทยุชาลี",13.90906300362,100.55317004526,3,"2023-01-01 07:51:13","2023-01-01 08:51:13",itic.sunisa
788056,"อุบัติเหตุ ถนนงามวงศ์วาน ขาเข้า","Accident at Ngamwongwan Rd.","ถนนงามวงศ์วาน ขาเข้า ภายใน `อุโมงค์เกษตร` มีอุบัติเหตุ (รถชนกัน) กีดขวางการจราจร เลนขวา การจราจรชะลอตัว

Cr.@Traffic_1197","Cars accident blocking the right lane on Kaset Tunnel on inbound Ngamwongwan Rd.

Cr.@Traffic_1197",13.840004549999,100.57532116771,3,"2023-01-01 08:49:18","2023-01-01 09:49:18",itic.kittaya@gmail.com
788057,"รถเสีย ปากซอยรามอินทรา 7 (ซอยปราโมชวิทยา)","Car breakdown at Soi Rarm Intra 7 (Soi Pramot Witthaya)","ปากซอยรามอินทรา 7 มี (รถนั่งส่วนบุคคล จอดเสีย) กีดขวางการจราจร เลนซ้าย

Cr.@Traffic_1197","Car breakdown blocking the left lane at the entrance of Soi Rarm Intra 7.

Cr.@Traffic_1197",13.869179114723,100.60619607568,1,"2023-01-01 08:58:32","2023-01-01 09:58:32",itic.kittaya@gmail.com
788058,"ระวัง ถนนวิภาวดีรังสิต","Warning at Vibhavadi Rangsit Rd.","ถนนวิภาวดีรังสิต บริเวณแยกสุทธิสาร มีคราบน้ำมันหกรดผิวการจราจร โปรดระวัง

Cr.ศูนย์ชาลีกรุงเทพ","Caution oil stains at Sutthisan Intersection on Vibhavadi Rangsit Rd.

Cr.ศูนย์ชาลีกรุงเทพ",13.789442353976,100.5613052845,12,"2023-01-01 09:02:23","2023-01-01 10:02:23",itic.kittaya@gmail.com
