pro_name,pro_seq,office_name,office_seq
กระบี่,64,สำนักงานที่ดินจังหวัดกระบี่,311
กระบี่,64,สำนักงานที่ดินจังหวัดกระบี่ สาขาคลองท่อม,340
กระบี่,64,สำนักงานที่ดินจังหวัดกระบี่ สาขาคลองท่อม ส่วนแยกเกาะลันตา,8930
กระบี่,64,สำนักงานที่ดินจังหวัดกระบี่ สาขาอ่าวลึก,341
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร,241
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาดอนเมือง,325
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาธนบุรี,326
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาบางกอกน้อย,327
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาบางกะปิ,328
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาบางขุนเทียน,329
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาบางเขน,330
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาบึงกุ่ม,331
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาประเวศ,332
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาพระโขนง,333
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขามีนบุรี,334
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาลาดกระบัง,335
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาลาดพร้าว,336
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาหนองแขม,338
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาหนองจอก,337
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาห้วยขวาง,339
กรุงเทพมหานคร,1,สำนักงานที่ดินกรุงเทพมหานคร สาขาจตุจักร,324
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี,303
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี สาขาทองผาภูมิ,342
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี สาขาท่าม่วง,344
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี สาขาท่ามะกา,343
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี สาขาบ่อพลอย,345
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี สาขาพนมทวน,346
กาญจนบุรี,56,สำนักงานที่ดินจังหวัดกาญจนบุรี ส่วนแยกเลาขวัญ,1214
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์,281
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์ สาขากมลาไสย,347
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์ สาขากุฉินารายณ์,348
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์ สาขายางตลาด,349
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์ สาขาสมเด็จ,350
กาฬสินธุ์,34,สำนักงานที่ดินจังหวัดกาฬสินธุ์ สาขาหนองกุงศรี,351
กำแพงเพชร,49,สำนักงานที่ดินจังหวัดกำแพงเพชร,296
กำแพงเพชร,49,สำนักงานที่ดินจังหวัดกำแพงเพชร สาขาขาณุวรลักษบุรี,352
กำแพงเพชร,49,สำนักงานที่ดินจังหวัดกำแพงเพชร สาขาคลองขลุง,353
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น,275
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขากระนวน,354
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาชุมแพ,355
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาน้ำพอง,356
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาน้ำพอง ส่วนแยกอุบลรัตน์,9015
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาบ้านไผ่,358
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาบ้านฝาง,357
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาพระยืน,359
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาพล,360
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขาภูเวียง,361
ขอนแก่น,28,สำนักงานที่ดินจังหวัดขอนแก่น สาขามัญจาคีรี,362
