office_name,office_seq
กลุ่มตรวจสอบภายใน,001
กลุ่มพัฒนาระบบบริหาร,002
กองเทคโนโลยีทำแผนที่,003
กองแผนงาน,004
กองการเจ้าหน้าที่,005
กองการพิมพ์,006
กองคลัง,007
กองฝึกอบรม,008
กองพัสดุ,009
ศูนย์ข้อมูลแผนที่รูปแปลงที่ดิน,010
ศูนย์ปฏิบัติการต่อต้านการทุจริต,011
สำนักกฎหมาย,012
สำนักงานเทคโนโลยีสารสนเทศ,013
สำนักงานเลขานุการกรม,014
สำนักงานคณะกรรมการช่างรังวัดเอกชน,015
สำนักงานจัดการที่ดินของรัฐ,016
สำนักงานมาตรฐานและส่งเสริมการรังวัด,017
สำนักงานมาตรฐานการทะเบียนที่ดิน,018
สำนักงานมาตรฐานการออกหนังสือสำคัญ,019
สำนักส่งเสริมธุรกิจอสังหาริมทรัพย์,020
