pro_name,pro_code,amp_name,amp_code,tam_name,tam_code
กรุงเทพมหานคร,10,เขตพระนคร,01,พระบรมมหาราชวัง,100101
กรุงเทพมหานคร,10,เขตพระนคร,01,วังบูรพาภิรมย์,100102
กรุงเทพมหานคร,10,เขตพระนคร,01,วัดราชบพิธ,100103
กรุงเทพมหานคร,10,เขตพระนคร,01,สำราญราษฎร์,100104
กรุงเทพมหานคร,10,เขตพระนคร,01,ศาลเจ้าพ่อเสือ,100105
กรุงเทพมหานคร,10,เขตพระนคร,01,เสาชิงช้า,100106
กรุงเทพมหานคร,10,เขตพระนคร,01,บวรนิเวศ,100107
กรุงเทพมหานคร,10,เขตพระนคร,01,ตลาดยอด,100108
กรุงเทพมหานคร,10,เขตพระนคร,01,ชนะสงคราม,100109
กรุงเทพมหานคร,10,เขตพระนคร,01,บ้านพานถม,100110
กรุงเทพมหานคร,10,เขตพระนคร,01,บางขุนพรหม,100111
กรุงเทพมหานคร,10,เขตพระนคร,01,วัดสามพระยา,100112
กรุงเทพมหานคร,10,เขตดุสิต,02,ดุสิต,100201
กรุงเทพมหานคร,10,เขตดุสิต,02,วชิรพยาบาล,100202
กรุงเทพมหานคร,10,เขตดุสิต,02,สวนจิตรลดา,100203
กรุงเทพมหานคร,10,เขตดุสิต,02,สี่แยกมหานาค,100204
กรุงเทพมหานคร,10,เขตดุสิต,02,ถนนนครไชยศรี,100206
กรุงเทพมหานคร,10,เขตหนองจอก,03,กระทุ่มราย,100301
กรุงเทพมหานคร,10,เขตหนองจอก,03,หนองจอก,100302
กรุงเทพมหานคร,10,เขตหนองจอก,03,คลองสิบ,100303
กรุงเทพมหานคร,10,เขตหนองจอก,03,คลองสิบสอง,100304
กรุงเทพมหานคร,10,เขตหนองจอก,03,โคกแฝด,100305
กรุงเทพมหานคร,10,เขตหนองจอก,03,คู้ฝั่งเหนือ,100306
กรุงเทพมหานคร,10,เขตหนองจอก,03,ลำผักชี,100307
กรุงเทพมหานคร,10,เขตหนองจอก,03,ลำต้อยติ่ง,100308
กรุงเทพมหานคร,10,เขตบางรัก,04,มหาพฤฒาราม,100401
กรุงเทพมหานคร,10,เขตบางรัก,04,สีลม,100402
กรุงเทพมหานคร,10,เขตบางรัก,04,สุริยวงศ์,100403
กรุงเทพมหานคร,10,เขตบางรัก,04,บางรัก,100404
กรุงเทพมหานคร,10,เขตบางรัก,04,สี่พระยา,100405
กรุงเทพมหานคร,10,เขตบางเขน,05,อนุเสาวรีย์,100502
กรุงเทพมหานคร,10,เขตบางเขน,05,ท่าแร้ง,100508
กรุงเทพมหานคร,10,เขตบางกะปิ,06,คลองจั่น,100601
